2026-03-20 22:38:20,152 INFO [main]	register protocol:1 success
2026-03-20 22:38:20,201 INFO [main]	register protocol:29 success
2026-03-20 22:38:20,205 INFO [main]	register protocol:4 success
2026-03-20 22:38:20,209 INFO [main]	register protocol:3 success
2026-03-20 22:38:20,210 INFO [main]	register protocol:31 success
2026-03-20 22:38:20,210 INFO [main]	register protocol:28 success
2026-03-20 22:38:20,212 INFO [main]	register protocol:32 success
2026-03-20 22:38:20,213 INFO [main]	register protocol:33 success
2026-03-20 22:38:20,213 INFO [main]	register protocol:30 success
2026-03-20 22:38:20,214 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2026-03-20 22:38:20,214 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2026-03-20 22:38:20,214 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2026-03-20 22:38:20,216 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2026-03-20 22:38:20,224 INFO [main]	create thread:server-work-thread-1
2026-03-20 22:38:20,224 INFO [main]	create thread:server-work-thread-2
2026-03-20 22:38:20,225 INFO [main]	create thread:server-work-thread-3
2026-03-20 22:38:20,225 INFO [main]	create thread:server-work-thread-4
2026-03-20 22:38:20,225 INFO [main]	create thread:server-work-thread-5
2026-03-20 22:38:20,225 INFO [main]	create thread:server-work-thread-6
2026-03-20 22:38:20,225 INFO [main]	create thread:server-work-thread-7
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-8
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-9
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-10
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-11
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-12
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-13
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-14
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-15
2026-03-20 22:38:20,226 INFO [main]	create thread:server-work-thread-16
2026-03-20 22:38:21,251 INFO [main]	use jdk nio event mode
2026-03-20 22:38:21,273 INFO [main]	create thread:timeout-timer-thread-1
2026-03-20 22:38:21,482 WARN [main]	meta file not exist, name=./data\log\metadata
2026-03-20 22:38:21,490 WARN [main]	meta file not exist, name=./data\snapshot\metadata
2026-03-20 22:38:21,529 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:21,538 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2026-03-20 22:38:21,538 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:21,542 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2026-03-20 22:38:21,542 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:21,545 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2026-03-20 22:38:21,545 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:21,545 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2026-03-20 22:38:21,550 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2026-03-20 22:38:21,552 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2026-03-20 22:38:21,552 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2026-03-20 22:38:21,554 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2026-03-20 22:38:21,554 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2026-03-20 22:38:21,555 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2026-03-20 22:38:21,555 DEBUG [main]	serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2026-03-20 22:38:21,558 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
